date,open,high,low,close,volume,Name,range,BarackObama Vader Sentiment Score
2018-04-18,270.69,271.3,269.87,270.39,57303857,SPY,1.4300000000000068,0.0
2018-04-16,267.0,268.2,266.07,267.33,63405287,SPY,2.1299999999999955,0.4215
2018-04-04,256.75,264.355,256.6,263.56,123715339,SPY,7.7549999999999955,-0.6705
2018-03-19,273.35,274.3957,268.62,270.49,109208442,SPY,5.775699999999972,0.3632
2018-03-16,274.5,275.39,274.14,274.2,100343673,SPY,1.25,0.7184
2018-03-15,274.7798,275.5069,273.3356,273.9033,83433038,SPY,2.171299999999974,0.5574
2018-03-14,276.7021,276.9113,273.5746,274.2021,105895079,SPY,3.3367000000000075,0.3744
2018-03-12,278.0865,278.7937,276.9711,277.4093,71924793,SPY,1.8226000000000226,0.3612
2018-02-28,274.5806,275.0886,270.2081,270.5667,121907767,SPY,4.880499999999984,0.5945
2018-02-22,270.0189,271.9611,268.5647,269.3216,110511290,SPY,3.3963999999999714,0.9192
2018-02-21,270.8157,273.6244,268.8635,268.973,98883740,SPY,4.760899999999992,0.8442
2018-02-15,270.487,271.9511,267.6981,271.9412,111200286,SPY,4.252999999999986,-0.5106
2018-02-14,263.2559,268.9232,263.246,268.5149,120735685,SPY,5.677200000000028,0.7888
2017-12-29,267.4591,267.479,265.5766,265.7958,96007424,SPY,1.9024,0.1363
2017-12-27,266.3137,266.6623,265.9452,266.2539,57750986,SPY,0.7171000000000163,0.0
2017-12-14,264.6755,264.8142,263.2088,263.2683,100666692,SPY,1.6054000000000315,0.8225
2017-12-13,264.6557,265.1512,264.2494,264.3485,102905409,SPY,0.901800000000037,0.5719
2017-12-11,263.189,263.9818,263.0892,263.9124,83077533,SPY,0.8926000000000158,0.5859
2017-12-04,263.9124,264.398,261.7025,261.762,94040560,SPY,2.695500000000038,0.0
2017-11-27,258.0655,258.4025,257.6592,257.8872,52274922,SPY,0.7432999999999765,0.9042
2017-11-20,255.816,256.1975,255.5385,255.9745,48075514,SPY,0.6589999999999918,0.7506
2017-11-08,256.143,256.8863,255.8259,256.7773,50469579,SPY,1.0604000000000156,0.8074
2017-11-07,256.6385,257.0151,255.7664,256.3412,57502161,SPY,1.2487000000000137,0.0258
2017-11-06,255.9745,256.6682,255.8953,256.5196,49652598,SPY,0.7729000000000212,-0.311
2017-11-01,255.7169,256.1034,254.7556,255.1718,54202736,SPY,1.347800000000035,-0.2294
2017-10-30,254.7556,255.2808,254.1016,254.4385,54285687,SPY,1.1792000000000087,0.4404
2017-10-23,255.1619,255.1917,253.7151,253.8043,63915306,SPY,1.4765999999999906,0.0
2017-10-16,252.9124,253.2097,252.5259,252.9916,38221675,SPY,0.6837999999999909,0.9246
2017-10-02,249.2259,250.0484,249.0302,250.0484,59022985,SPY,1.018199999999979,-0.6369
2017-09-26,247.1745,247.452,246.565,246.8376,54081959,SPY,0.8870000000000005,0.5994
2017-09-25,246.9069,247.3065,245.8466,246.6889,57064357,SPY,1.4599000000000046,0.4588
2017-09-20,247.8186,247.9376,246.679,247.8087,59574083,SPY,1.2586000000000013,0.23835
2017-09-18,247.3628,247.8682,247.0358,247.4718,46235238,SPY,0.8324000000000069,0.8519
2017-09-13,246.25,246.7332,246.1218,246.6938,59228002,SPY,0.6114000000000033,0.6124
2017-09-11,244.5934,245.8359,244.5736,245.7471,71364848,SPY,1.2623000000000104,-0.4404
2017-09-08,243.1142,243.6763,242.8775,243.1537,63832825,SPY,0.7988,0.8481
2017-09-07,243.8143,243.8341,242.9762,243.4396,58034730,SPY,0.8579000000000008,0.0
2017-09-05,243.8242,244.0806,241.5463,242.6409,91398777,SPY,2.5343000000000018,-0.4404
2017-08-17,242.8184,243.1734,239.7122,239.7122,128490396,SPY,3.461199999999991,0.2023
2017-07-20,243.8439,243.982,243.0452,243.6664,47135183,SPY,0.9368000000000052,-0.5106
2017-06-22,239.584,240.146,239.2684,239.4656,44148059,SPY,0.8775999999999726,0.4939
2017-06-02,238.8727,239.7853,238.539,239.6087,88666128,SPY,1.2463000000000193,-0.743
2017-05-25,236.6941,237.5577,236.4586,237.2437,64071661,SPY,1.0991000000000213,0.8625
2017-05-23,235.4675,235.7521,235.0357,235.5656,48341683,SPY,0.7164000000000215,-0.6705
2017-05-22,234.4371,235.232,234.3586,235.0455,61010602,SPY,0.8734000000000037,0.34
2017-05-03,233.8385,234.415,233.2595,234.0249,73137731,SPY,1.1554999999999893,0.296
2017-05-02,234.3782,234.5156,233.8483,234.3095,57375732,SPY,0.6673000000000116,0.4649
2017-04-24,232.7492,232.9749,230.1809,232.7394,119209877,SPY,2.7939999999999827,0.5994
2017-03-23,229.6286,230.9436,229.2361,229.6581,100410277,SPY,1.7075000000000102,-0.6597
2017-03-08,231.8973,232.1904,230.9788,231.1352,78168795,SPY,1.2116000000000042,0.6705
2017-03-02,234.0664,234.0762,232.7473,232.806,70245978,SPY,1.3289000000000044,0.24695
2017-02-17,228.585,229.6989,228.5655,229.6989,77204104,SPY,1.133400000000023,0.0
2017-02-14,227.2269,228.3505,226.8361,228.3408,71108983,SPY,1.5144000000000233,0.3291
2017-01-20,221.5013,222.0973,220.7899,221.5404,129168623,SPY,1.3074000000000012,0.24609999999999999
2017-01-10,221.2863,222.2341,220.8271,221.2668,63771939,SPY,1.4070000000000107,0.4215
