date,open,high,low,close,volume,Name,range,SpeakerBoehner Vader Sentiment Score
2018-04-18,270.69,271.3,269.87,270.39,57303857,SPY,1.4300000000000068,0.7184
2018-04-16,267.0,268.2,266.07,267.33,63405287,SPY,2.1299999999999955,0.34
2018-04-13,267.41,267.54,264.01,265.15,85079176,SPY,3.5300000000000296,0.4404
2018-04-12,265.26,267.0,265.06,265.93,68890480,SPY,1.9399999999999977,0.128
2018-04-11,263.47,265.64,263.39,263.76,91140243,SPY,2.25,0.2986
2018-04-10,264.27,266.04,262.98,265.15,105573736,SPY,3.0600000000000023,0.6369
2018-03-15,274.7798,275.5069,273.3356,273.9033,83433038,SPY,2.171299999999974,0.5859
2018-01-16,278.236,278.973,275.0786,275.8654,106555142,SPY,3.8944000000000187,-0.1027
2017-12-22,266.5428,266.5677,265.8356,266.4432,78720873,SPY,0.7321000000000026,0.8271
2017-12-19,267.4143,267.4591,266.0248,266.1045,82382876,SPY,1.4342999999999506,-0.802
2017-11-22,257.6592,257.8079,257.2331,257.4214,45033392,SPY,0.5748000000000388,0.25
2017-11-17,255.8953,256.2602,255.4493,255.5385,75756833,SPY,0.8109000000000037,0.0516
2017-11-16,255.2016,256.7079,255.1568,256.2917,67777027,SPY,1.551099999999991,0.5056
2017-11-13,254.9935,256.2619,254.9538,256.0043,50228648,SPY,1.3081000000000245,0.6705
2017-10-26,253.6853,253.9926,253.1799,253.3187,69797972,SPY,0.8127000000000066,0.4588
2017-10-20,254.389,254.825,253.4717,254.7953,89176377,SPY,1.3532999999999902,-0.1531
2017-10-19,252.5358,253.5268,252.0601,253.4871,61903788,SPY,1.466700000000003,0.9153
2017-10-17,252.9322,253.2196,252.6844,253.17,31560964,SPY,0.5352000000000032,0.2023
2017-10-02,249.2259,250.0484,249.0302,250.0484,59022985,SPY,1.018199999999979,-0.6597
2017-09-12,246.1613,246.6149,245.9542,246.5754,56896027,SPY,0.6607000000000198,0.4939
2017-08-21,239.2684,239.8206,238.4697,239.5248,65469736,SPY,1.3509000000000242,0.0
2017-07-27,244.5145,244.5539,242.2662,243.765,70766568,SPY,2.287700000000001,0.6369
2017-07-20,243.8439,243.982,243.0452,243.6664,47135183,SPY,0.9368000000000052,0.7003
2017-06-07,239.0493,239.3633,238.2937,239.1082,54144311,SPY,1.0696000000000083,0.5719
2017-05-01,234.2212,234.7021,233.7453,234.2212,66882521,SPY,0.9568000000000154,0.743
2017-04-19,230.1389,230.5609,228.824,229.0791,68699868,SPY,1.7368999999999915,0.0
2017-03-14,231.741,231.7996,230.7737,231.4674,59880778,SPY,1.0259000000000071,0.0
2017-02-17,228.585,229.6989,228.5655,229.6989,77204104,SPY,1.133400000000023,0.8555
2017-02-13,226.7579,227.7252,226.7286,227.4321,55182050,SPY,0.9966000000000008,0.20095
2017-01-27,224.1589,224.325,223.5141,223.7192,59695224,SPY,0.8108999999999753,0.4404
2017-01-23,221.1593,221.6039,220.1041,220.9639,75061645,SPY,1.4998000000000218,0.0
2017-01-20,221.5013,222.0973,220.7899,221.5404,129168623,SPY,1.3074000000000012,0.7717
2017-01-17,221.1202,221.5795,220.6219,221.0616,61240814,SPY,0.9575999999999851,0.3825
